"id","name","title","version","url","author","author_email","maintainer","maintainer_email","notes","license_id","type","state","revision_id","license","isopen","tags","groups","ratings_average","ratings_count","resources","ckan_url","relationships","metadata_modified","metadata_created","notes_rendered","dc:source","dcterms:references","dct:contributor","dct:creator","dct:publisher","maj","dct:temporal","resource-0-url","resource-0-format","resource-0-description","total","recent","foo","temporal_coverage-from","geographic_granularity","dct:accrualPeriodicity","spatial-text","image_url","spatial","temporal_coverage-to","dcat:granularity","spatial-uri","ckan_author","Année","extent","resource-1-url","resource-1-format","resource-1-description","resource-2-url","resource-2-format","resource-2-description","resource-3-url","resource-3-format","resource-3-description","resource-4-url","resource-4-format","resource-4-description","resource-5-url","resource-5-format","resource-5-description","k2","k1","666","terte","54543","date de création","granularité","date de mise à jour","testextra","zzzzz","tretre","ffffff","xxx","ccc","cle","dct:modified","teste","zzz"
"29675c9e-c3ca-449f-a740-2388c198ff5c","camp-d-internement-de-merignac","Camp d'internement de Mérignac","","","","","","","Inventaire en ligne des archives du camp d'internement de Mérignac (1940-1945)","cc-nc","","active","33638dc2-0193-478d-a64c-fce45928e2ec","Creative Commons Non-Commercial (Any)",False,"Mérignac guerre 1939-1945","","",0,"[{'mimetype': u'', 'resource_group_id': u'd0eaead4-218b-4b9e-8c81-80292be77fb3', 'cache_url': None, 'hash': u'', 'description': u'', 'format': u'', 'url': u'http://gael.gironde.fr/ead.html?id=FRAD033_IR_71W', 'created': '2012-06-14T16:33:04.672570', 'tracking_summary': {'total': 0, 'recent': 0}, 'webstore_url': u'enabled', 'cache_last_updated': None, 'package_id': u'29675c9e-c3ca-449f-a740-2388c198ff5c', 'mimetype_inner': u'', 'webstore_last_updated': None, 'last_modified': None, 'position': 0, 'size': None, 'id': u'd15d1c14-9236-457c-8b1c-c3d04bb1513e', 'resource_type': u'file', 'name': u''}]","http://datalift.si.fr.atosorigin.com/dataset/camp-d-internement-de-merignac","","2012-06-14T14:39:20.891717","2012-06-14T14:33:04.645679","<p>Inventaire en ligne des archives du camp d'internement de Mérignac (1940-1945)
</p>","http://gael.gironde.fr/pages/index.html","","ad33","","","","","http://gael.gironde.fr/ead.html?id=FRAD033_IR_71W","","",0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0df5d08a-cbb5-4b99-854a-b62998bfe7d0","chlc-cdt33","Liste des chambres d'hôtels labélisées de la Gironde ","","","","","","","Liste des champbres d'hôtels labélisées de la Gironde issues de la base de données SIRTAQUI","odc-odbl","","active","0f5d905a-78c0-4804-8a4f-1fe97a5d2993","Open Data Commons Open Database License (ODbL)",True,"","","",0,"[{'mimetype': u'application/vnd.ms-excel', 'resource_group_id': u'f2aa023c-af98-4d67-b3f7-1f511149b5cf', 'cache_url': None, 'hash': u'2e1d82d8c8464379d6b11997551f345f328c3619', 'description': u'export excel de la base de donn\xe9es SIRTAQUI', 'format': u'xls', 'url': u'/fr/storage/f/2012-07-06T144536/Gironde-ChambresHotesLabelliseesCommune.xls', 'created': '2012-07-06T16:39:22.900242', 'tracking_summary': {'total': 0, 'recent': 0}, 'webstore_url': u'http://datalift.si.fr.atosorigin.com/api/data/4f8b3e27-c9e8-414e-8bf7-bb3ac2e1b1f5/', 'cache_last_updated': None, 'package_id': u'0df5d08a-cbb5-4b99-854a-b62998bfe7d0', 'mimetype_inner': u'', 'webstore_last_updated': '2012-07-06T16:39:24.310715', 'last_modified': '2012-07-06T16:39:23.582010', 'position': 0, 'size': 51712L, 'id': u'4f8b3e27-c9e8-414e-8bf7-bb3ac2e1b1f5', 'resource_type': u'file.upload', 'name': u'export excel de la base de donn\xe9es SIRTAQUI'}]","http://datalift.si.fr.atosorigin.com/dataset/chlc-cdt33","","2012-07-06T14:40:41.869009","2012-07-02T15:18:27.088757","<p>Liste des champbres d'hôtels labélisées de la Gironde issues de la base de données SIRTAQUI
</p>","","","cpousseau","","","","","/fr/storage/f/2012-07-06T144536/Gironde-ChambresHotesLabelliseesCommune.xls","xls","export excel de la base de données SIRTAQUI",0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28b49f6c-b279-421f-bf2d-151ebd6e9e24","dataset-2","Dataset 2","1.1","http://fr.atos.net/fr-fr/","Auteur","oceane.ventura@gmail.com","Mainteneur","oceane.ventura@gmail.com","Description","odc-pddl","","active","12f2dd72-bc13-4b71-a249-aa5744479656","Licence Ouverte / Open Licence Etablab",True,"test","atos service-b","",0,"[{'mimetype': u'text/csv', 'resource_group_id': u'434916f7-aaea-42b3-99a6-458be1794884', 'cache_url': u'http://datalift.si.fr.atosorigin.com/21bb3f43-0b17-43e2-930d-d8d65e332edf/place_livraison.csv', 'hash': u'cf6f8e42128ce11c9973d93da2c296d75dd87eda', 'description': u'Open data parias', 'format': u'csv', 'url': u'http://datalift.si.fr.atosorigin.com/fr/storage/f/2012-07-27T141940/place_livraison.csv', 'created': '2012-07-27T16:10:46.179479', 'tracking_summary': {'total': 0, 'recent': 0}, 'webstore_url': u'active', 'cache_last_updated': '2012-07-27T16:10:47.064002', 'package_id': u'28b49f6c-b279-421f-bf2d-151ebd6e9e24', 'mimetype_inner': u'', 'webstore_last_updated': '2012-07-27T16:10:52.567434', 'last_modified': '2012-07-27T16:10:47.064084', 'position': 0, 'size': 720236L, 'id': u'21bb3f43-0b17-43e2-930d-d8d65e332edf', 'resource_type': u'file.upload', 'name': u'Place_livraison de Paris'}]","http://datalift.si.fr.atosorigin.com/dataset/dataset-2","","2012-08-03T16:24:01.120634","2012-07-11T08:11:47.484055","<p>Description
</p>","Source","Référence","Oceane Ventura","25d75149-ec4e-48f7-8840-bbd25443924b","d4b3af9d-d989-4db3-8025-0f06ea6f87c1","Mise à jour","","http://datalift.si.fr.atosorigin.com/fr/storage/f/2012-07-27T141940/place_livraison.csv","csv","Open data parias",0,0,"bar","2012-01-01","couverture géographique","fréquence","BORDEAUX","http://datalift.si.fr.atosorigin.com/storage/f/file/806e5b2b-6cb4-48df-931f-feec94419d8d","{""type"":""Polygon"",""coordinates"":[ [ [-0.638336425567462, 44.9166669651253], [-0.535532551075714, 44.9166669651253], [-0.535532551075714, 44.810795852605], [-0.638336425567462, 44.810795852605], [-0.638336425567462, 44.9166669651253] ] ]}","2013-01-01","Un an","http://data.ign.fr/id/geofla/commune/33063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3a033a3f-09a1-477f-afb6-2d28a3bbe5d5","dataset-3","Dataset 3","","","","","","","","odc-pddl","","active","fc83a673-703d-4eec-b23e-a8777d5aae8f","Licence Ouverte / Open Licence Etablab",True,"","atos service-b","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dataset-3","","2012-08-03T15:49:18.727849","2012-07-12T10:21:56.253550","","","","Oceane Ventura","25d75149-ec4e-48f7-8840-bbd25443924b","d4b3af9d-d989-4db3-8025-0f06ea6f87c1","","","","","",0,0,"","2012-07-01","","","TEMPLE-LAGUYON","","{""type"":""Polygon"",""coordinates"":[ [ [1.08495870771463, 45.2419169146178], [1.1085687207252, 45.2419169146178], [1.1085687207252, 45.221943598563], [1.08495870771463, 45.221943598563], [1.08495870771463, 45.2419169146178] ] ]}","2012-07-31","","http://data.ign.fr/id/geofla/commune/24546","dc3d6e64-ccb7-4596-8737-a931db85fac0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b093710-01ac-4057-aecc-ea87074f62cf","dataset-4","Dataset 4","","","","","","","","notspecified","","active","3b799b73-7216-4b5b-8267-ade8c10a689a","Licence non spécifiée",False,"","atos service-b","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dataset-4","","2012-07-27T12:38:14.588299","2012-07-27T12:38:14.588299","","","","Oceane Ventura","25d75149-ec4e-48f7-8840-bbd25443924b","d4b3af9d-d989-4db3-8025-0f06ea6f87c1","","","","","",0,0,"","2012-07-27","","","","","","2012-07-27","","","dc3d6e64-ccb7-4596-8737-a931db85fac0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"611c938c-62a3-47bb-b2a1-9d18ced6bef4","dataset-5","Dataset 5","","","","","","","","notspecified","","active","a51fe907-a06f-4aa3-8379-3e0700510ae8","Licence non spécifiée",False,"","","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dataset-5","","2012-07-27T14:14:25.377929","2012-07-17T13:22:43.426099","","","","Oceane Ventura","","","","","","","",0,0,"","2012-07-17","test","irrégulier","","","","2012-07-17","","","dc3d6e64-ccb7-4596-8737-a931db85fac0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07927e44-e9f7-4706-92dd-e34dcd769e4b","dataset-7","Dataset 7","1.1","http://fr.atos.net/fr-fr/","Auteur","oceane.ventura@gmail.com","Mainteneur","oceane.ventura@gmail.com","Avec ressource","odc-pddl","","active","a73cd371-367a-4461-9f46-e831cc4e0375","Licence Ouverte / Open Licence Etablab",True,"test","atos service-b","",0,"[{'mimetype': u'text/csv', 'resource_group_id': u'79766d9a-2e8b-4ac2-852b-8d876766cf47', 'cache_url': u'http://datalift.si.fr.atosorigin.com/fb06fc4e-a257-43da-b35d-43bf7dbfbda6/Kiosques_ouverts_%C3%A0_Paris.csv', 'hash': u'f8d2df4f7365b46cdc58c49d662fe795c7fe32d2', 'description': u'', 'format': u'csv', 'url': u'http://datalift.si.fr.atosorigin.com/storage/f/2012-07-24T095454/Kiosques_ouverts_%C3%A0_Paris.csv', 'created': '2012-07-24T11:46:22.023184', 'tracking_summary': {'total': 0, 'recent': 0}, 'webstore_url': u'http://datalift.si.fr.atosorigin.com/api/data/fb06fc4e-a257-43da-b35d-43bf7dbfbda6/', 'cache_last_updated': '2012-07-24T11:46:22.838258', 'package_id': u'07927e44-e9f7-4706-92dd-e34dcd769e4b', 'mimetype_inner': u'', 'webstore_last_updated': '2012-07-24T11:46:23.805265', 'last_modified': '2012-07-24T11:46:22.838307', 'position': 0, 'size': 13415L, 'id': u'fb06fc4e-a257-43da-b35d-43bf7dbfbda6', 'resource_type': u'file.upload', 'name': u'Kiosques_ouverts_\xe0_Paris.csv'}]","http://datalift.si.fr.atosorigin.com/dataset/dataset-7","","2012-07-27T14:19:23.735470","2012-07-19T13:11:02.978062","<p>Avec ressource
</p>","Source","Référence","Oceane Ventura","25d75149-ec4e-48f7-8840-bbd25443924b","d4b3af9d-d989-4db3-8025-0f06ea6f87c1","","","http://datalift.si.fr.atosorigin.com/storage/f/2012-07-24T095454/Kiosques_ouverts_%C3%A0_Paris.csv","csv","",0,0,"","2012-07-01","départemental","irrégulier","GIRONDE","http://datalift.si.fr.atosorigin.com/storage/f/file/806e5b2b-6cb4-48df-931f-feec94419d8d","{""type"":""Polygon"",""coordinates"":[ [ [-1.26156091294416, 45.5731138630698], [0.315055728326286, 45.5731138630698], [0.315055728326286, 44.1940166710363], [-1.26156091294416, 44.1940166710363], [-1.26156091294416, 45.5731138630698] ] ]}","2012-07-31","Association Gironde","http://data.ign.fr/id/geofla/departement/33","","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73fc978e-99d2-4fed-bf56-5ae7eb587213","dataset-8","Dataset 8","","","","","","","Test Ckan Author","notspecified","","active","26d3f8ae-1c69-44b4-863d-6b5e26d36b45","Licence non spécifiée",False,"","atos service-b","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dataset-8","","2012-07-27T14:15:10.796026","2012-07-27T11:47:37.147658","<p>Test Ckan Author
</p>","","","Oceane Ventura","25d75149-ec4e-48f7-8840-bbd25443924b","d4b3af9d-d989-4db3-8025-0f06ea6f87c1","","","","","",0,0,"","2012-07-27","","","","","","2012-07-27","","","dc3d6e64-ccb7-4596-8737-a931db85fac0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c67e2ae0-f021-4dc6-b249-f573201f0eee","dataset-9","Dataset 9","","","","","","","","odc-pddl","","active","c141b33b-05ff-48ee-a133-432a10e5fbef","Licence Ouverte / Open Licence Etablab",True,"","","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dataset-9","","2012-07-27T14:15:36.870444","2012-07-18T12:00:15.706106","","","","Oceane Ventura","","","","","","","",0,0,"","2012-07-18","","","","","","2012-07-18","","","dc3d6e64-ccb7-4596-8737-a931db85fac0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5b416335-b353-4fef-9bb9-4d8a198b9a1c","dataset-test","dataset test","1.2.0","sss","xxx","ed@ww.com","fsdtg","dsf@sss.com","test dataset ssssss","cc-zero","","active","703d7963-8bf6-4954-b327-d65286ff98c8","Creative Commons CCZero",True,"testtag tagstest","wwwwww","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dataset-test","","2012-05-28T11:19:30.529580","2012-05-28T09:06:28.845533","<p>test dataset ssssss
</p>","","ssss","www","vfdgfdg","c5a2d222-f19c-443c-b136-e7722a8f9cf0","ddddddd","ttttt","","","",0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3f7e5f15-cb07-45b3-99b0-e618536d31f0","dcat-bdx","catalogue ville de Bordeaux","","","","","","","le catalogue des jeux de données qui sont proposés dans le cadre du portail opendata de la ville de Bordeaux","odc-pddl","","active","fb46887a-ce57-4c38-8395-7966b621464b","Licence Ouverte / Open Licence Etablab",True,"","","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dcat-bdx","","2012-07-10T07:22:32.225729","2012-07-10T07:22:32.225729","<p>le catalogue des jeux de données qui sont proposés dans le cadre du portail opendata de la ville de Bordeaux
</p>","","","","","","","","","","",0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387f452a-c49f-4e71-ba50-a246982228b1","dcc-ens-agenda","dcc-ens-agenda","1","www.siad.com","auteur","p.romain@cg33.fr","mainteneur","p.romain@cg33.fr","sdfsdf","odc-odbl","","active","76ec0d55-70b7-4ee7-8acc-7dc8b1e22306","Open Data Commons Open Database License (ODbL)",True,"sqd","","",0,"[{'resource_group_id': u'13d9e4ab-7d83-4593-8646-4722ec972c92', 'cache_last_updated': None, 'package_id': u'387f452a-c49f-4e71-ba50-a246982228b1', 'webstore_last_updated': None, u'owner': u'siad', 'id': u'07671b88-c76f-4ac2-9dea-820077795aa0', 'size': 490L, u'cache_url_updated': u'2012-05-17T21:15:34', 'hash': u'md5:b59398cda06292f0fc5004c88bde0338', 'description': u""le fichier csv de la liste des arrondissements de l'aquitaine"", 'format': u'csv', 'tracking_summary': {'total': 0, 'recent': 0}, 'mimetype_inner': u'csv', 'mimetype': u'text/csv', 'cache_url': None, 'name': u'2012-05-17T211509/2_Data_ZonageAquitaine2009_liste_Arr.csv', 'created': '2012-05-17T23:16:48.455896', 'url': u'/storage/f/2012-05-17T211509/2_Data_ZonageAquitaine2009_liste_Arr.csv', 'webstore_url': u'/storage/f/2012-05-17T211509/2_Data_ZonageAquitaine2009_liste_Arr.csv', 'last_modified': '2012-05-17T21:15:34', 'position': 0, 'resource_type': u'file.upload'}]","http://datalift.si.fr.atosorigin.com/dataset/dcc-ens-agenda","","2012-05-17T21:16:48.425800","2012-05-17T21:13:51.984615","<p>sdfsdf
</p>","","","","","","","","/storage/f/2012-05-17T211509/2_Data_ZonageAquitaine2009_liste_Arr.csv","csv","le fichier csv de la liste des arrondissements de l'aquitaine",0,0,"","","","","","","","","","","","","gironde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8fcef705-d0a7-409d-86ff-ce9e05a72adc","ddd","ddd","","","","","","","dasdfsfsdf","odc-pddl","","active","c10a3075-8c18-4c44-a448-ce79bb199fb7","Licence Ouverte / Open Licence Etablab",True,"","","",0,"","http://datalift.si.fr.atosorigin.com/dataset/ddd","","2012-06-01T13:52:55.386357","2012-06-01T13:52:55.386357","<p>dasdfsfsdf
</p>","","","zzzz","","","","","","","",0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a4c4dad3-dc1b-45fb-b09a-dd5f3148af44","dddf","dddf","","","","","","","rqwerwet","cc-zero","","active","f63e9318-0525-4665-b9bb-5560f873d49a","Creative Commons CCZero",True,"","","",0,"","http://datalift.si.fr.atosorigin.com/dataset/dddf","","2012-07-09T08:29:27.580653","2012-07-09T08:29:27.580653","<p>rqwerwet
</p>","","","","","","","","","","",0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
